# Zajednička evidencija brojki (sve tri knjige)
# Pravilo: svaka brojka koja se pojavljuje u više od jedne knjige ima ovdje JEDAN redak.
# vrsta: mjereno | procjena | izvedeno (izračunato iz drugih brojki u evidenciji)
# Provjera: kod/check_fakti.py
id,brojka,jedinica,izvor,datum_izvora,vrsta,pojavljuje_se_u,napomena
flywire_neurons,139255,neurona,Dorkenwald et al. 2024 (Nature),2024,mjereno,razine/10;razine/12,užiži mozak vinske mušice; video o konektomu navodi pogrešnu brojku 166
flywire_synapses,50000000,sinapsi,Dorkenwald et al. 2024 (Nature),2024,mjereno (zaokruženo),razine/10;razine/12,~50 milijuna
flywire_params,734,parametara,Lappalainen et al. 2024 (Nature 634:1132–1140),2024,mjereno,razine/10;razine/12,model aktivnosti 64 tipa neurona iz konektoma
flywire_types,64,tipova neurona,Lappalainen et al. 2024 (Nature),2024,mjereno,razine/10;razine/12,
omlcc_levels,16,razina,Perak OMLCC (izlaganja 2017a; 2017b; integralno neobjavljen),2017,izvedeno,razine/2;razine/3;kom2025/3,autorov okvir; domene prema Searleu
omlcc_domains,3,domene,Searle 1995;2010,1995,mjereno,razine/2;razine/3,materijalna / psihološka / društvena
emotion_lexemes,125,leksema,Ban Kirigin & Perak 2020 (Rasprave IHJJ 46(2): 957-996); Perak 2014; EmoCNet 2019-21,2020,mjereno,razine/6,mreža hrvatskih emocionalnih leksema sa 'strah' u središtu
qwen3_embed_dim,4096,dimenzija,Qwen Team 2025 (arXiv:2506.05176),2025,mjereno,razine/4;razine/10,vlastiti mjerni postav (spark-embed)
context_window_small,512,tokena,provider documentation 2026,2020,mjereno,razine/10,povijesna vrijednost ranih modela
context_window_large,10000000,tokena,provider documentation 2026,2026,mjereno,razine/10,kontekstni prozori 2026
context_growth,5000,x (umnožak),izvedeno iz context_window_small i context_window_large,2026,izvedeno,razine/10,512 → 10 M
metr_horizon_2020,9,sekundi,METR 2025 (arXiv:2503.14499),2020,mjereno,razine/10,vremenski horizont zadatka na 50 %
metr_horizon_2026,12,sati,METR 2026 (ispravak 3.3.2026; prvotna procjena 14.5 h od 20.2.2026),2026,procjena,razine/10,Claude Opus 4.6; METR je ispravio bug u modeliranju i spustio vrijednost s 14.5 h na ~12 h
metr_unreliable_above,16,sati,METR 2026 (napomena uz graf),2026,mjereno,razine/10,mjerenja iznad 16 h nepouzdana sa sadašnjim skupom zadataka (METR: Measurements above 16 hrs are unreliable with our current task suite)
gpqa_ceiling,80,%,Thompson 2026 (Mapping IQ/MMLU/MMLU-Pro/GPQA/HLE; ažurirano 4.8.2026),2026,procjena,razine/10,GPQA strop ~80% (zavisi od podskupa); zasićen 11/2025 (Gemini 3 Pro 93.8%); Anthropic prestao izvještavati GPQA od 6/2026; ISPRAVAK: u izlaganju je bilo navedeno 90%
hle_ceiling,51.3,%,FutureHouse (7/2025) preko Thompsona 2026,2025,procjena,razine/10,uncontroversially correct strop HLE; Alibaba (2/2026; arXiv:2602.13964v2) navodi 25.6% — u knjizi se navode oba izvora
mmlu_ceiling,91,%,Thompson 2026 (Mapping; analiza UoE),2026,procjena,razine/10,zasićen 9/2024 (o1-preview 92.3%)
mmlu_pro_ceiling,90,%,Thompson 2026 (Mapping),2026,procjena,razine/10,zasićen 11/2025 (Gemini 3 Pro 90.1%)
hle_gpt52,50,%,Thompson 2026 (Mapping),2025,mjereno,razine/10,GPT-5.2 na HLE (prosinac 2025)
lecture_words,8594,riječi,"Perak 2026 (IUC Dubrovnik; govorne bilješke)",2026,mjereno,—,predavanje kao kondenzat knjige
book_2025_isbn,978-953-361-147-1,ISBN,Perak 2025 (FFRI),2025,mjereno,docs/CITIRANJE.md,elektroničko izdanje
papercut_orgs,395,organizacija,GreyNoise (2026; 9. rujna),2026,mjereno,razine/13,napadacka kampanja s AI agentima; PaperCut NG/MF
papercut_targets_26s,11,ciljeva,GreyNoise (2026; 9. rujna),2026,mjereno,razine/13,u jednom naletu (26 sekundi)
openai_agents_swarm,700,agenata,"prema izvještajima (Fortune, CNN, Taipei Times)",2026,procjena,razine/12;razine/13,broj agenata u koordiniranom napadu - nije potvrđena mjera
hubinger_estimate,10,%,Hubinger (2026); prenose CNBC i BBC,2026,procjena,razine/16,vjerojatnost "pobiti sve ljude" u desetljeću - procjena stručnjaka; ne mjerenje
hinton_estimate,10-20,%,Hinton (2024; The Guardian),2024,procjena,razine/16,izumiranje u ~30 godina - procjena
ai_authors_survey,10,%,Grace et al. (2024; JAIR),2024,procjena,razine/16,10% do 2027 i 50% do 2047 (anketa 2.778 istraživača)
hnk_corpus,131.8,Mw,Perak 2014 (doktorski rad; sažetak izvornika),2014,mjereno,razine/6,Hrvatski nacionalni korpus
strah_tokens,14875,pojavnica,Perak 2014 (doktorski rad; sažetak izvornika),2014,mjereno,razine/6,pojavnice leme strah u HNK-u
od_straha_freq,825,pojavnica,Perak 2014 (doktorski rad: tiskana str. 304),2014,mjereno,razine/6,prijedložni izraz od straha - drugi po čestotnosti
mijesati_strah,17,pojavnica,Perak 2014 (doktorski rad: tiskana str. 369),2014,mjereno,razine/6,konstrukcija mijesati se sa strahom
papercut_window,26,sekundi,GreyNoise (2026; 9. rujna),2026,mjereno,razine/13,trajanje naleta u kojem je pogođeno 11 ciljeva
gpqa_saturation,93.8,%,Thompson 2026 (Gemini 3 Pro; 11/2025),2025,mjereno,razine/10,rezultat pri zasićenju GPQA; strop je niži (~80%)
mmlu_saturation,92.3,%,Thompson 2026 (o1-preview; 9/2024),2024,mjereno,razine/10,rezultat pri zasićenju MMLU; strop ~91%
