leksem,n,pdf_str,tiskana_str,kontekst
drhtati,62,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
umrijeti,61,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
tresti,39,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
čežnju,20,129,105,"ranje je često višeznačno, kao što je vidljivo u primjeru (1) gdje uzvik Ah! može označavati označava emociju"
udivljenje,19,129,105,"ranje je često višeznačno, kao što je vidljivo u primjeru (1) gdje uzvik Ah! može označavati označava emociju"
strah,18,129,105,"ranje je često višeznačno, kao što je vidljivo u primjeru (1) gdje uzvik Ah! može označavati označava emociju"
trnuti,18,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
plakati,12,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
kriknuti,11,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
izbezumiti,10,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
bježati,9,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
osloboditi,8,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
pobjeći,8,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
razboljeti se,8,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
ukočiti,8,328,304,ili POTICATELJ procesa. Slijedom broja pojavnica u istraživanom korpusu ističu se procesi izrečeni glagolima:
ježiti,7,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
svijest,7,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
padati,6,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
skameniti,5,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
slediti,5,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
paralizirati,4,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
pomokriti,4,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
stisnuti,4,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
vikati,4,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
vrištati,4,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
klecati,3,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
letjeti,3,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
skočiti,3,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
stezati,3,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
svijati,3,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
teturati,3,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
vratiti,3,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
groziti,2,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
otići,2,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
pišati,2,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
smijati,2,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
svisnuti,2,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
disati,1,328,304,"(2), svisnuti (2), groziti (2), otići (2), prenuti (1), treperiti (1), vibrirati (1), šćućuriti (1), pasti u"
izdisati,1,328,304,"(2), svisnuti (2), groziti (2), otići (2), prenuti (1), treperiti (1), vibrirati (1), šćućuriti (1), pasti u"
liječiti,1,328,304,"(2), svisnuti (2), groziti (2), otići (2), prenuti (1), treperiti (1), vibrirati (1), šćućuriti (1), pasti u"
nesvjest,1,328,304,"(2), svisnuti (2), groziti (2), otići (2), prenuti (1), treperiti (1), vibrirati (1), šćućuriti (1), pasti u"
obraniti,1,328,304,"(2), svisnuti (2), groziti (2), otići (2), prenuti (1), treperiti (1), vibrirati (1), šćućuriti (1), pasti u"
povraćati,1,328,304,"(2), svisnuti (2), groziti (2), otići (2), prenuti (1), treperiti (1), vibrirati (1), šćućuriti (1), pasti u"
prenuti,1,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
priznati,1,328,304,"(2), svisnuti (2), groziti (2), otići (2), prenuti (1), treperiti (1), vibrirati (1), šćućuriti (1), pasti u"
sjesti,1,328,304,"(2), svisnuti (2), groziti (2), otići (2), prenuti (1), treperiti (1), vibrirati (1), šćućuriti (1), pasti u"
treperiti,1,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
vibrirati,1,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
šćućuriti,1,328,304,"knuti (11), izbezumiti (10), bježati (9), razboljeti se (8), osloboditi (8), ukočiti (8) pobjeći (8) izgubiti"
