prijedlog,n_pojavnica,pdf_str,tiskana_str,kontekst
od,41,189,165,"a (88). Na fiziološkoj razini blijedost se javlja zbog smanjenja perifernog krvotoka, kao pri početnim stupnjevima vazovagalne sinkope koja kod doživljavatelja straha može izazvati blijedilo kože (Brignole i Benditt 2011:333). Time nastaje posljedićni uvid strah uzrokuje bljedilo doživljavatelja. U "
,192,190,166,"N [STRAH JE OBJEKT KOJI UZROKUJE BLIJEDILO] M PU Pragmatične inferencije: MODRO (veza s domenom HLADNOĆA), ZELENO (veza s domenom SLABOST), CRVENO (veza s domenom SRAM) 4.3.1.4. Veliko Premda se veličina može odrediti iz haptičkog osjeta, dominantni osjet kojim se izvodi svojstvo veličine je vid. U "
,23,190,166,"U 192 pojavnice (n=192) strahu se pripisuje atribut velik iskazan u pozitivnim, komparativnim i superlativnim oblicima. Atribut velik (94-6) veže se uz pojmovnu metaforu STRAH JE OBJEKT S DIMENZIJAMA. Uz takvo opojmljivanje vezana je i procesna konstrukcija [ENTITET povećati strah] koja se javlja u "
,9,192,168,"Svojstvene konstrukcije: [DUBINA (SPREMNIKA) UZROKUJE STRAH] UU [DUBINA STOJI ZA STRAH] MN [STRAH JE DUBOKO USAĐENI OBJEKT]M ATR → [DUBOKI STRAH] M ATR Pragmatične inferencije: DUBOKA USAĐENOST → STRAH JE BILJKA, TIJELO JE SPREMNIK / TLO 4.3.1.7. Vidljiv strah Izraz (ne)vidljiv strah, zabilježen u 9"
,3,197,173,"173 Autonomna reakcija trnci, koja ima taktilnu i propriocepcijsku pojavnost, povezuje se posljedično sa leksemom strah u 3 pojavnice (n=3) (125), kao i reakcija ježiti (n=7), (124) Još uvijek me trnci straha nisu ni dotakli. (Krilić) (125) Al mene je strah Mijo... sve me trnci prolaze. (Livadić) Ti"
,92,199,175,"stović 2001:223). Tipična fiziološke reakcije na afektivno stanje straha povezuju se s osjetom hladnoće, premda se u jednoj pojavnici (n=1) (139) javlja atribut topli strah. (139) ...vlažan i topli životni strah se razlio po čitavom njegovom tijelu. (Šegedin) Svojstvo HLADNOĆE strahu se pripisuje u "
,114,201,177,"i bolne strahove koji su u potki obiteljskih odnosa. (Vjesnik) Iz posljedičnog uvida STRAH UZROKUJE BOL proizlazi senzorno-motorna metonimija BOL STOJI ZA STRAH, odnosno pojmovna metafora STRAH JE OBJEKT KOJI UZROKUJE BOL. Ovakvo se poimanje često profilira procesom trpiti koji je zabilježen u čak 1"
,10,202,178,"de do duboke utrobne (visceralne) boli koja obično ukazuje na poremećen rad unutarnjih organa i vitalnih funkcija. Visceroceptivne osjete teško je točno lokalizirati jer se često odražavaju na udaljeno mjesto tjelesne površine (Judaš i Kostović 2001:225). 4.3.6.1 Muka, mučiti, mučno Sa strahom se u "
od,10,206,182,"straha (n=7) (178) u kojima se strah opojmljuje kao OBJEKT U RAVNOTEŽI. (178) ...godina regulira ravnotežu straha izmeću dviju zemalja. (Vjesnik) Jedna od posljedica gubitka ravnoteže svakako je proces padati, koji se povezuje sa leksemom strah u bližoj (179) ili daljoj (180) sintaktičkoj okolini u "
,270,207,183,"183 4.3.8 Senzorno-motorne konstrukcije izvedene iz afektivnih kategorija Strah je član kategorije afektivnih stanja koja se nazivaju osjećaj. Leksički pojam osjećaj pojavljuje se kao nadrećena kategorija i odrednik profila straha u 270 pojavnica (n=270) (181), a glagol osjetiti ima za objekt leksem"
,205,207,183,"Senzorno-motorne konstrukcije izvedene iz afektivnih kategorija Strah je član kategorije afektivnih stanja koja se nazivaju osjećaj. Leksički pojam osjećaj pojavljuje se kao nadrećena kategorija i odrednik profila straha u 270 pojavnica (n=270) (181), a glagol osjetiti ima za objekt leksem strah u 2"
,266,227,203,": [STRAH UZROKUJE IZMIJENJENI GLAS] PU [IZMIJENJENI GLAS STOJI ZA STRAH] MN [STRAH JE OBJEKT KOJI UZROKUJE IZMIJENJENI GLAS]M PU Višeznačnost profilirajuće domene: [IZMIJENJENI GLAS STOJI ZA NESIGURNOST/UPOZORENJE] 4.5.1.9 Srce Meću zabilježenim tjelesnim domenama u istraživanom korpusu se srce, sa "
,13,231,207,JE ČELJUSTI] PU [NEKONTOROLIRANO KRETANJE ČELJUSTI STOJI ZA STRAH] MN [STRAH JE OBJEKT KOJI UZROKUJE NEKONTOROLIRANO KRETANJE ČELJUSTI]M PU Višeznačnost profilirajuće domene: [HLADNOĆA STOJI ZA STRAH] [HLADNOĆA UZROKUJE NEKONTOROLIRANO KRETANJE ČELJUSTI] 4.5.1.11 Jezik Strah se s jezikom povezuje u 
od,53,232,208,"ih"" (Brlić-Mažuranić) (288) Netko onijemi od straha; drugi se okuraži; strah je, vele, vrag. (Kamov) Metonimijsko profiliranje: [STRAH UZROKUJE OTEŽANO KRETANJE JEZIKA] PU [OTEŽANO KRETANJE JEZIKA STOJI ZA STRAH] MN [STRAH JE OBJEKT KOJI UZROKUJE OTEŽANO KRETANJE JEZIKA]M PU 4.5.1.12 Grlo Grlo se u "
,16,234,210,RANO KRETANJE RUKU STOJI ZA STRAH] MN [STRAH JE OBJEKT KOJI UZROKUJE OTEŽANO I NEKONTROLIRANO KRETANJE RUKU]M PU Višeznačnost profilirajuće domene: [OTEŽANO I NEKONTROLIRANO KRETANJE RUKU GLAVE STOJI ZA NEMOGUĆNOST DJELOVANJA] 4.5.1.14 Prsti Prsti se u odnosu na afektivno stanje straha pojavljuju u 
od,25,237,213,"omogućuju nadzor povećanja temperature zbog izvanjskih uvjeta ili unutrašnjih fizioloških razloga. Odrećena emocionalna stanja, meću kojima i strah, takoćer uzrokuju aktivaciju autonomnog procesa i reakcije poput ubrzanog kucanja srca i znojenja dlanova. Znojenje se ablativno povezuje sa strahom u 2"
,22,240,216,"216 4.5.1.21 Žile U odnosu na žile strah se opojmljuje krozmjesno aktivirajući pojmovnu metaforu STRAH JE TEKUĆINA (KOJA TEČE ŽILAMA). Tako se bilježe 22 pojavnice (n=22) s glagolima razliti (330), teći (331) ili ophajati (332). (330) ...se mojim žilama razlio strah pred tolikom odgovornošću. (Vjesn"
